6.3138,12.7065,31.8193,63.6551,318.493,636.045
2.92,4.3026,6.9646,9.9247,22.3276,31.5989
2.3534,3.1824,4.5407,5.8408,10.2145,12.9242
2.1319,2.7764,3.747,4.6041,7.1732,8.6103
2.015,2.5706,3.365,4.0322,5.8934,6.8688
1.9432,2.4469,3.1426,3.7074,5.2076,5.9589
1.8946,2.3646,2.998,3.4995,4.7852,5.4079
1.8595,2.306,2.8965,3.3554,4.5008,5.0414
1.8331,2.2621,2.8214,3.2498,4.2969,4.7809
1.8124,2.2282,2.7638,3.1693,4.1437,4.5869
1.7959,2.201,2.7181,3.1058,4.0247,4.4369
1.7823,2.1788,2.681,3.0545,3.9296,4.3178
1.7709,2.1604,2.6503,3.0123,3.852,4.2208
1.7613,2.1448,2.6245,2.9768,3.7874,4.1404
1.753,2.1314,2.6025,2.9467,3.7328,4.0728
1.7459,2.1199,2.5835,2.9208,3.6861,4.015
1.7396,2.1098,2.5669,2.8983,3.6458,3.9651
1.7341,2.1009,2.5524,2.8784,3.6105,3.9216
1.7291,2.093,2.5395,2.8609,3.5794,3.8834
1.7247,2.086,2.528,2.8454,3.5518,3.8495
1.7207,2.0796,2.5176,2.8314,3.5272,3.8193
1.7172,2.0739,2.5083,2.8188,3.505,3.7921
1.7139,2.0686,2.4998,2.8073,3.485,3.7676
1.7109,2.0639,2.4922,2.797,3.4668,3.7454
1.7081,2.0596,2.4851,2.7874,3.4502,3.7251
1.7056,2.0555,2.4786,2.7787,3.435,3.7067
1.7033,2.0518,2.4727,2.7707,3.4211,3.6896
1.7011,2.0484,2.4671,2.7633,3.4082,3.6739
1.6991,2.0452,2.462,2.7564,3.3962,3.6594
1.6973,2.0423,2.4572,2.75,3.3852,3.6459
1.6955,2.0395,2.4528,2.744,3.3749,3.6334
1.6939,2.0369,2.4487,2.7385,3.3653,3.6218
1.6924,2.0345,2.4448,2.7333,3.3563,3.6109
1.6909,2.0322,2.4411,2.7284,3.3479,3.6008
1.6896,2.0301,2.4377,2.7238,3.34,3.5912
1.6883,2.0281,2.4345,2.7195,3.3326,3.5822
1.6871,2.0262,2.4315,2.7154,3.3256,3.5737
1.6859,2.0244,2.4286,2.7115,3.319,3.5657
1.6849,2.0227,2.4258,2.7079,3.3128,3.5581
1.6839,2.0211,2.4233,2.7045,3.3069,3.551
1.6829,2.0196,2.4208,2.7012,3.3013,3.5442
1.682,2.0181,2.4185,2.6981,3.2959,3.5378
1.6811,2.0167,2.4162,2.6951,3.2909,3.5316
1.6802,2.0154,2.4142,2.6923,3.2861,3.5258
1.6794,2.0141,2.4121,2.6896,3.2815,3.5202
1.6787,2.0129,2.4102,2.687,3.2771,3.5149
1.6779,2.0117,2.4083,2.6846,3.2729,3.5099
1.6772,2.0106,2.4066,2.6822,3.2689,3.5051
1.6766,2.0096,2.4049,2.68,3.2651,3.5004
1.6759,2.0086,2.4033,2.6778,3.2614,3.496
1.6753,2.0076,2.4017,2.6757,3.2579,3.4917
1.6747,2.0066,2.4002,2.6737,3.2545,3.4877
1.6741,2.0057,2.3988,2.6718,3.2513,3.4838
1.6736,2.0049,2.3974,2.67,3.2482,3.48
1.673,2.0041,2.3961,2.6682,3.2451,3.4764
1.6725,2.0032,2.3948,2.6665,3.2423,3.473
1.672,2.0025,2.3936,2.6649,3.2394,3.4696
1.6715,2.0017,2.3924,2.6633,3.2368,3.4663
1.6711,2.001,2.3912,2.6618,3.2342,3.4632
1.6706,2.0003,2.3901,2.6603,3.2317,3.4602
1.6702,1.9996,2.389,2.6589,3.2293,3.4573
1.6698,1.999,2.388,2.6575,3.2269,3.4545
1.6694,1.9983,2.387,2.6561,3.2247,3.4518
1.669,1.9977,2.386,2.6549,3.2225,3.4491
1.6686,1.9971,2.3851,2.6536,3.2204,3.4466
1.6683,1.9966,2.3842,2.6524,3.2184,3.4441
1.6679,1.996,2.3833,2.6512,3.2164,3.4417
1.6676,1.9955,2.3824,2.6501,3.2144,3.4395
1.6673,1.995,2.3816,2.649,3.2126,3.4372
1.6669,1.9944,2.3808,2.6479,3.2108,3.435
1.6666,1.9939,2.38,2.6468,3.209,3.4329
1.6663,1.9935,2.3793,2.6459,3.2073,3.4308
1.666,1.993,2.3785,2.6449,3.2056,3.4288
1.6657,1.9925,2.3778,2.6439,3.204,3.4269
1.6654,1.9921,2.3771,2.643,3.2025,3.425
1.6652,1.9917,2.3764,2.6421,3.201,3.4232
1.6649,1.9913,2.3758,2.6412,3.1995,3.4214
1.6646,1.9909,2.3751,2.6404,3.198,3.4197
1.6644,1.9904,2.3745,2.6395,3.1966,3.418
1.6641,1.9901,2.3739,2.6387,3.1953,3.4164
1.6639,1.9897,2.3733,2.6379,3.1939,3.4147
1.6636,1.9893,2.3727,2.6371,3.1926,3.4132
1.6634,1.9889,2.3721,2.6364,3.1913,3.4117
1.6632,1.9886,2.3716,2.6356,3.1901,3.4101
1.663,1.9883,2.371,2.6349,3.1889,3.4087
1.6628,1.9879,2.3705,2.6342,3.1877,3.4073
1.6626,1.9876,2.37,2.6335,3.1866,3.4059
1.6623,1.9873,2.3695,2.6328,3.1854,3.4046
1.6622,1.987,2.369,2.6322,3.1844,3.4032
1.662,1.9867,2.3685,2.6316,3.1833,3.402
1.6618,1.9864,2.368,2.6309,3.1822,3.4006
1.6616,1.9861,2.3676,2.6303,3.1812,3.3995
1.6614,1.9858,2.3671,2.6297,3.1802,3.3982
1.6612,1.9855,2.3667,2.6292,3.1792,3.397
1.661,1.9852,2.3662,2.6286,3.1782,3.3959
1.6609,1.985,2.3658,2.628,3.1773,3.3947
1.6607,1.9847,2.3654,2.6275,3.1764,3.3936
1.6606,1.9845,2.365,2.6269,3.1755,3.3926
1.6604,1.9842,2.3646,2.6264,3.1746,3.3915
1.6602,1.984,2.3642,2.6259,3.1738,3.3905
1.6601,1.9837,2.3638,2.6254,3.1729,3.3894
1.6599,1.9835,2.3635,2.6249,3.172,3.3885
1.6598,1.9833,2.3631,2.6244,3.1712,3.3875
1.6596,1.983,2.3627,2.624,3.1704,3.3866
1.6595,1.9828,2.3624,2.6235,3.1697,3.3856
1.6593,1.9826,2.362,2.623,3.1689,3.3847
1.6592,1.9824,2.3617,2.6225,3.1681,3.3838
1.6591,1.9822,2.3614,2.6221,3.1674,3.3829
1.6589,1.982,2.3611,2.6217,3.1667,3.382
1.6588,1.9818,2.3607,2.6212,3.166,3.3812
1.6587,1.9816,2.3604,2.6208,3.1653,3.3803
1.6586,1.9814,2.3601,2.6204,3.1646,3.3795
1.6585,1.9812,2.3598,2.62,3.164,3.3787
1.6583,1.981,2.3595,2.6196,3.1633,3.3779
1.6582,1.9808,2.3592,2.6192,3.1626,3.3771
1.6581,1.9806,2.3589,2.6189,3.162,3.3764
1.658,1.9805,2.3586,2.6185,3.1614,3.3756
1.6579,1.9803,2.3583,2.6181,3.1607,3.3749
1.6578,1.9801,2.3581,2.6178,3.1601,3.3741
1.6577,1.9799,2.3578,2.6174,3.1595,3.3735
1.6575,1.9798,2.3576,2.6171,3.1589,3.3727
1.6574,1.9796,2.3573,2.6168,3.1584,3.3721
1.6573,1.9794,2.3571,2.6164,3.1578,3.3714
1.6572,1.9793,2.3568,2.6161,3.1573,3.3707
1.6571,1.9791,2.3565,2.6158,3.1567,3.37
1.657,1.979,2.3563,2.6154,3.1562,3.3694
1.657,1.9788,2.3561,2.6151,3.1556,3.3688
1.6568,1.9787,2.3559,2.6148,3.1551,3.3682
1.6568,1.9785,2.3556,2.6145,3.1546,3.3676
1.6567,1.9784,2.3554,2.6142,3.1541,3.3669
1.6566,1.9782,2.3552,2.6139,3.1536,3.3663
1.6565,1.9781,2.3549,2.6136,3.1531,3.3658
1.6564,1.9779,2.3547,2.6133,3.1526,3.3652
1.6563,1.9778,2.3545,2.613,3.1522,3.3646
1.6562,1.9777,2.3543,2.6127,3.1517,3.3641
1.6561,1.9776,2.3541,2.6125,3.1512,3.3635
1.6561,1.9774,2.3539,2.6122,3.1508,3.363
1.656,1.9773,2.3537,2.6119,3.1503,3.3624
1.6559,1.9772,2.3535,2.6117,3.1499,3.3619
1.6558,1.9771,2.3533,2.6114,3.1495,3.3614
1.6557,1.9769,2.3531,2.6112,3.1491,3.3609
1.6557,1.9768,2.3529,2.6109,3.1486,3.3604
